|href|title|price|description|memory|ram|sys
0|https://www.avito.ru/moskva/telefony/iphone_14_pro_128vse_tsveta_2677301685?slocation=107620|iPhone 14 pro 128(все цвета)|82000|IPhone 14 pro 128. Новые. Запечатанные. Оперативно доставим до вашей точки 24/7. В любое время суток, сэкономив ваше время. Подарим стекло и чехол. Поможет перекинуть данные. Выкупим ваш старый телефон. Хорошего дня.|128|6.0|ios
1|https://www.avito.ru/moskva/telefony/iphone_13_pro_256_gb_graphit_novyy_2615471814?slocation=107620|iPhone 13 Pro 256 GB Graphit Новый|74990|Новый Оригинальный активированный Apple iPhone с гарантией и доставкой! IPhone 13 Pro 256 Gb — 79990 ₽. Цвет: Графит. Вашему вниманию представлена исключительно оригинальная продукция Apple. Все модели iPhone Вы можете найти в нашем профиле, по телефону или в личных сообщениях! Наличие и стоимость уточняйте у менеджера! Почему Выгодно Купить Айфон В Apple Inc.? 1. Все телефоны оригинальные, запечатанные, в коробках, с полным комплектом аксессуаров, кассовым чеком и гарантией! 2. Oперационная система Iоs! 3. Регистрируются с Аррlе Id! 4. Официaльно руcифицированы! 5. Все функции телефона полноценно работают! 6. Все симкарты работают! 7. Скачиваются приложения всех банков! 8. Выдаётся кассовый чек и гарантийный талон! 9. Доставка до двери, Помощь В Активации! 10. Предоставляется. Гарантия на бесплатное сервисное обслуживание сроком на 2 года! Гарантия 2 недели на обмен в случае брака! 11. Защитное бронестекло и силиконовый чехол в подарок! 12. Быстрое оформление заказа! 13. Оперативная доставка и вежливые курьеры! 14. Самовывоз в центре Москвы! 15. Продаём оригинальную технику Apple более 7 лет! 16. Лучшее качество и высокий сервис! 17. В случае брака или заводского дефекта наш магазин сделает быстрый обмен — Вы можете быть спокойны и уверены в гарантийном обслуживании после покупки! 18. Все наши покупатели очень довольны покупкой и возвращаются к нам снова и снова! Условия Покупки И Оплаты: Перед покупкой и перед оплатой Вы открываете упаковку, включаете и проверяете телефон! Для удобства наших покупателей создана курьерская служба, наши курьеры работают давно, покажут Вам, как проверить телефон на оригинальность на официальном сайте Apple, также при необходимости сделают настройки телефона, перенос данных, создание Apple ID и окажут любую помощь! Оплата после получения и проверки! Доставка по Москве от 1-2 часов и по Московской области от 3 часов! Для постоянных покупателей предусмотрены скидки и подарки! Подпишитесь на наш интернет магазин оригинальных смартфонов Эппл, добавьте объявление в избранное, чтобы быть в курсе новостей и выгодных предложений и акций! Звоните или пишите прямо сейчас, чтобы купить новый оригинальный Айфон с курьерской доставкой и гарантией 2 года! Если не дозвонились, напишите сообщение — наш менеджер свяжется с Вами в ближайшее время! Звоните с 8:00 до 21:00, с радостью ответим на любые вопросы!|256|6.0|ios
2|https://www.avito.ru/moskva/telefony/iphone_11_pro_256_gb_vse_tsveta_original_2742923842?slocation=107620|iPhone 11 Pro 256 Gb все цвета / оригинал|37990|Друзья, прежде чем звонить и писать, ознакомьтесь, пожалуйста, с описанием объявления! Доступен видеообзор, листайте вправо, 2-й слайд! IPhone 11 Pro 256 Gb — 37 990 руб. Оригинал, в заводской плёнке, запечатанный в коробку с полным комплектом. Работают все функции без исключений. Sim-free, работает с любым оператором связи. Официально русифицированы. Поддержка всех последних обновлений ios. Можно проверить на официальном сайте Apple. Ref, проверен про 34 пунктам. Телефон выглядит абсолютно как новый, отлично подойдет в качестве подарка! Остерегайтесь недобросовестных продавцов, многие продают восстановленные по видом новых! Почему мы: 5 лет на рынке восстановленных смартфонов, мы отобрали лучших поставщиков и лучшие телефоны. Мы уверены в своих устройствах, у вас есть целых 7 дней на обмен и гарантия до 1 года! Быстрая доставка в течение дня. Комфортный самовывоз рядом с м. Савеловская. Приветствуем любые проверки (можно распаковать и активировать). Доступна оплата кредитной картой (+3% комиссия). Активация/настройка/установка приложений. Подарок для каждого клиента! График работы — ежедневно с 10:00 до 20:00. Ждем ваших звонков! Артикул: N77i76c58901728.|256|4.0|ios
3|https://www.avito.ru/moskva/telefony/iphone_14_pro_max_256_vse_tsveta_2663571381|iPhone 14 pro max 256 (все цвета )|98000|Бесплатная Доставка по Москве. IPhone 14 pro max. Новый! Оригинальный. В подарок защитное стекло и чехол. Выгодный trade — in обменяем ваш старый телефон с доплатой на новый прямо у вас и вам не нужно никуда ехать. Поможем перенести данные. Отправка в регионы. Подпишись, что бы не потерять нас.|256|6.0|ios
4|https://www.avito.ru/moskva/telefony/galaxy_s20_fe_snapdragon_sm-g780g_2900371359|Galaxy s20 fe Snapdragon SM-G780G|20000|Продам отличный смартфон в отличном состоянии. Ни сколов ни царапин, сзади до сих пор заводская пленка. Телефон на снапе, что в разы лучше версий на эксинос, которые в основном у нас и продавались, как по батарее так и по быстродействию. Комплект на фото, зарядка быстрая. От всего абсолютно отвязан. Срочно, без торга. В продаже до понедельника.|128|6.0|android
5|https://www.avito.ru/moskva/telefony/iphone_8_2646904817|iPhone 8|6990|IPhone 8. Не восстановленные! Примем вашу технику в зачет стоимости новой! IPhone 8 64GB — от 6 990. Сколы у лотка. Гарантия от 2-х недель до 3-х месяцев на проверку, далее Год сервисного обслуживания! Оригинальные экраны и корпуса на наших телефонах. Любые проверки перед покупкой — Приветствуем! Терминал для оплаты банковской картой! Доставка в пределах Кад Бесплатно! Кредит и Рассрочка от 10 банков. Купим ваш телефон / трейд-ин. - Больше о нас Вы можете узнать в нашей группе вконтакте и Инстаграм. - Более 500 положительных отзывов в интернете! - Если телефон окажется не оригинальным — вернем деньги! Наши магазины расположены в Москве, Санкт-Петербурге и Самаре. Наш адрес в Москве: м. Багратионовская, ул. Барклая, д. 10. Торговый Центр Багратионовский, 1 этаж, секция А-21, вход с парковки. Магазин Miraphone. Подробности уточняйте у продавца. Звоните!|64|2.0|ios
6|https://www.avito.ru/moskva/telefony/telefon_iphone_11_64gb_red_2850278571?slocation=107620|Телефон iPhone 11 64gb red|23000|Продам телефон в отличном состоянии: все работает как надо, аккумулятор держит заряд, на экране — защитный экран Remax (илюбые проверки на месте. Не вскрывался. Без сколов и дефектов. Спользовался с защитным стеклом). Полный комплект: на фото. Ростест.|64|4.0|ios
7|https://www.avito.ru/moskva/telefony/iphone_13_pro_max_zelenyygreen_novyy_2798345309?slocation=107620|iPhone 13 pro max зелёный,green новый|84000|Iphone 13 pro max новый, запечатанный с гарантией. О телефоне. — 256 Gb, Гб. — Зелёного цвета, Green. В наличии большой ассортимент есть разные цвета и объём памяти данной модели. Голубой, Зелёный, Золотистый, Серебристый, Серый, Blue, Green, Gold, Silver, Grey. Также спрашивайте про другие модели. У нас большой ассортимент. Покупая у нас вы получаете! — Гарантия в 1 год. — Обмен в течение 14 дней. Если что то не устроит. — Кассовый чек и гарантийный талон. Доставка. — Оплачиваете после проверки. — Бесплатная доставка по Москве до двери. — Можно оплатить наличными или картой.|256|6.0|ios
8|https://www.avito.ru/moskva/telefony/iphone_14_pro_max_512gb._vse_tsveta_v_nalichii_2533646462|iPhone 14 Pro Max 512Gb. Все цвета в наличии|113990|Акция: обменяй свой старый смартфон на новый и получи хорошую скидку по программе Trade-in. При покупке смартфона — беспроводные наушники, часы и аксессуары по специальной цене. Салон связи «В сети» приветствует вас. Мы занимаемся честной продажей и trade-in (обменом) смартфонов и портативной электроники уже 9 лет. Оригинальная продукция. Официальная гарантия. Apple iPhone 14 Про Макс 512 Гб. Цвет: Фиолетовый (Deep purple). Все цвета в наличии. ℹ Смартфон абсолютно Новый, запечатанный, оригинальный, не восстановленный. Установим Сбербанк и Альфу. Быстро перенесем ваши данные со старого устройства на новое. Любые проверки перед покупкой. Предоставляем товарный и кассовый чек. Широкий ассортимент аксессуаров. Скидки постоянным клиентам. Экспресс-доставка по Москве и МО в течении 3 часов. Доставка по всей России. Мы гарантируем оригинальность всех наших товаров и дорожим своей репутацией. Мы всегда с вами на связи, готовы проконсультировать и помочь вам в любой момент. Остерегайтесь мошенников. Адрес магазина: метро Савёловская, ул. Сущёвский вал, 5с20, ТД Савёловский, павильон L-0. Цена указана за смартфон в модификации: 2 esim, без физической сим-карты (США). Так же в наличии есть для разных стран (с 1 физической сим-картой + esim или на 2 физические сим-карты). Актуальную цену уточняйте у менеджеров.|512|6.0|ios
9|https://www.avito.ru/moskva/telefony/iphone_8_plus_2712947035?slocation=107620|iPhone 8 Plus|9500|IPhone 8 Plus, идеальное состояние, Акб 100%, Цена: 9500.|128|3.0|ios
10|https://www.avito.ru/moskva/telefony/iphone_14_pro_2541703335|iPhone 14 PRO|84990|Оригинальныйhоbыйв Наличии. Цена указана за: iPhone 14 Pro 128Gb Space Black / Айфон 14 Про 128Гб Черный космос. Звоните Или Пишите. Количество Товара Ограничено! Звоните и резервируйте прямо сейчас, оплачивайте после полной проверки! Никаких предоплат! Оплата только по факту получения товара! 100% новая оригинальная продукция. Любые проверки перед покупкой. 9 лет на рынке. 5 Авито (600+ реальных отзывов). Проверенный партнер. Доставка по Мск и области — от 2х часов. Доставка в регионы Сдек. Самовывоз из магазин. Безналичный расчет (+6% без Ндс). Услуга Тrаdе-In ваших старых девайсов. Официальная Гарантия производителя. Гарантия магазина по чеку. Огромный выбор аксессуаров. Магазин ул Барклая 8 (ТЦ Горбушка). Ежедневно С 10:00 ДО 21:00. Звоните Или Пишите. Будем рады проконсультировать и подобрать для вас максимально подходящий девайс). Цена в объявлении указана за версию esim ( Америка). Для уточнения стоимости на другие виды сим-карт звоните или пишите в личные сообщения.|128|6.0|ios
11|https://www.avito.ru/moskva/telefony/iphone_14_pro_128gb_chernyy_kosmos_2553387458|iPhone 14 Pro 128Gb Черный космос|86990|У нас вы можете купить новый оригинальный смартфон Apple iPhone 14 Pro 128 Gb. Указана минимальная цена за Американскую версию только с esim. Стоимость версии с Sim и 2sim уточняйте в сообщениях и по телефону. Запакованный, не обменный и не восстановленный. Мы успешно работаем с 2011 года! Наши отзывы говорят сами за себя. Смартфон: Apple iPhone 14 Pro / Айфон 14 Про. Цвет: Черный космос / Space black. Вы можете проверить устройство до покупки, мы уверены в качестве наших товаров. Trade IN. Мы даем 14 дней на обмен/возврат для проверки качества. А также помогаем с отправкой телефонов по мировой гарантии. Скидки постоянным клиентам. Профессиональные менеджеры окажут полную консультацию. Свой интернет-магазин. Наличие и стоимость вы можете уточнить по телефону или в личных сообщениях. Самовывоз: каждый день с 10:00 до 20:30. Оперативная курьерская Доставка: по Москве и Московской области. Отправка По России транспортной компанией сразу после оплаты. Москва, м. Багратионовская, Барклая 8, отдельный вход со двора ТЦ «Горбушка», Vip-паркинг, вывеска «Upstore24». 4 минуты от метро / парковка рядом с магазином. Мы гарантируем оригинальность продукции Apple и дорожим своей репутацией. Мы всегда с вами на связи, даже после покупки. До встречи!|128|6.0|ios
12|https://www.avito.ru/moskva/telefony/iphone_14_pro_max_512_gold_2758291172?slocation=107620|iPhone 14 Pro Max 512 gold|12499|Телефон новый. Полный комплект. Не активированный запечатанный. Чехол в подарок.|512|6.0|ios
13|https://www.avito.ru/himki/telefony/telefon_iphone_13_pro_max_256_nebesno_goluboy_2698878398?slocation=107620|Телефон iPhone 13 pro max 256 Небесно Голубой|81100|Совершенно новый. Лежал не активировался. Активировал вчера. В организации дарили как только он вышел. Полный комплект: В отличном состоянии. Зарядное устройство. Коробка. Отвязан от всех аккаунтов. Все детали в рабочем состоянии. Любые проверки на месте. Без сколов и дефектов.|256|8.0|ios
14|https://www.avito.ru/moskva/telefony/apple_iphone_x_256gb_2661581183|Apple iPhone X 256GB|14000|Полный комплект: Зарядное устройство. Наушники. Коробка. В отличном состоянии. Отвязан от всех аккаунтов. Чехол в подарок. Использовался с защитным стеклом. Все детали в рабочем состоянии. Любые проверки на месте. Не вскрывался. Без сколов и дефектов.|256|3.0|ios
15|https://www.avito.ru/moskva/telefony/iphone_14_pro_256_2776920531|iPhone 14 pro 256|88990|В нашем магазине вы можете приобрести гаджеты мировых брендов. Внимание! Уважаемые клиенты, в связи с нестабильным курсом доллара, цены могут меняться. Любая проверка на оригинальность перед покупкой. Работаем по системе Trade-in(сдай старое и приобрети с доплатой новое). Предоставляем кассовый чек и товарный чек. Постоянным клиентом скидка. Бронь товара на час без предоплаты. Просьба предупреждать о выезде заблаговременно, так как товара может не оказаться. О наличии и стоимости, Вы можете уточнить по телефону и в личных сообщениях. Гарантия: 7дней на заводской брак, со дня покупки. Год на сервисное обслуживания. Способ оплаты: Наличными. Переводом. Оплата через пост-терминал. (по карте)9%. Доставка: Доставка по Москве нашими курьерами. Отправка в регионы через Сдэк(при условии полной оплаты). Звоните И Пишите 24/7. Поможем с выбором и про консультируем. Наш адрес: Москва м. Багратионовская, Барклая 8. БЦ Рубин 5 минут от метро. Имеется паркинг.|256|6.0|ios
16|https://www.avito.ru/moskva/telefony/vivo_y91c_2788575519?slocation=107620|Vivo Y91C|4500|Продаю Vivo Y91C. Телефон в хорошем состоянии, наклеена защитная плёнка. Коробка от телефона прилагается. Нахожусь днём в 5 минутах от м. Автозаводская. В выходные г. Видное. По почте не отправляю, продаю руки в руки.|32|2.0|android
17|https://www.avito.ru/moskva/telefony/iphone_xr_v_korpuse_1314_pro_2653740926?slocation=107620|iPhone xr в корпусе 13/14 pro|16590|Оригинальный Iphone XR В Корпусе 13/14 Pro. Напишите сейчас и получите скидку на розничную покупку. Объем памяти 128Gb. Аккумулятор 100%. Реальная гарантия от магазина 30 дней. Плоский экран. Оригинальные комплектующие Apple. Face ID. True Tone. Беспроводная зарядка. Собран на лицензированных заводах. Полный комплект. Мы реальный магазин и при покупке вы получаете чек, подтверждающий покупку. Доставка по Москве и МО: от 150р. Доставка по по всей России: Сдеком. Цена указана за опт. По всем вопросам ждем вас в личных сообщениях.|128|3.0|ios
18|https://www.avito.ru/moskva/telefony/smartfon_realme_c35_2857788727?slocation=107620|Смартфон realme c35|6000|Телефон БУ. В отличном состоянии. Продаю с чехлом и полным комплектом.|128|6.0|android
19|https://www.avito.ru/moskva/telefony/iphone_14_pro_256gb._vse_tsveta_v_nalichii_2533564383?slocation=107620|iPhone 14 Pro 256Gb. Все цвета в наличии|88990|Акция: обменяй свой старый смартфон на новый и получи хорошую скидку по программе Trade-in. При покупке смартфона — беспроводные наушники, часы и аксессуары по специальной цене. Салон связи «В сети» приветствует вас. Мы занимаемся честной продажей и trade-in (обменом) смартфонов и портативной электроники уже 9 лет. Оригинальная продукция. Официальная гарантия. Apple iPhone 14 Про 256 Гб. Цвет: Фиолетовый (Deep purple). Все цвета в наличии. ℹ Смартфон абсолютно Новый, запечатанный, оригинальный, не восстановленный. Установим Сбербанк и Альфу. Быстро перенесем ваши данные со старого устройства на новое. Любые проверки перед покупкой. Предоставляем товарный и кассовый чек. Широкий ассортимент аксессуаров. Скидки постоянным клиентам. Экспресс-доставка по Москве и МО в течении 3 часов. Доставка по всей России. Мы гарантируем оригинальность всех наших товаров и дорожим своей репутацией. Мы всегда с вами на связи, готовы проконсультировать и помочь вам в любой момент. Остерегайтесь мошенников. Адрес магазина: метро Савёловская, ул. Сущёвский вал, 5с20, ТД Савёловский, павильон L-0. Цена указана за смартфон в модификации: 2 esim, без физической сим-карты (США).|256|6.0|ios
20|https://www.avito.ru/moskva/telefony/iphone_xr_v_korpuse_13_pro_128_gb_2541110563?slocation=107620|iPhone Xr в корпусе 13 pro 128 гб|19500|Описание. Новый Оригинальный iPhone Xr в корпусе 13 pro 128 gb Black Night. Арт 11-23-21-12-42-12. Напишите или позвоните нам прямо сейчас. Есть магазин в Москве, можно приехать посмотреть все в живую, либо можно заказать на доставку по Москве с оплатой при получении! Гарантия 60 дней + 1 Год сервисного обслуживания! Оригинал, не подделка! Абсолютно новый — ни единой пылинки, царапинки. Все функции работают: Face ID, True Tone, беспроводная зарядка, связь и т. Д. Обновление до последнего ios поддерживает без проблем. Напишите или позвоните. Пишите на авито, либо звоните по указанному номеру телефона — Быстро Ответим Всем! Лот 12-32-21-32-21-34-00-32-12-21-00-21. Работаем ежедневно! В наличии есть и другие модели. Смотрите профиль. Нажмите «Подписаться», чтобы не пропустить лучшие цены! Оплата: Наличный расчёт. Безналичный расчёт. Позвони или Напиши прямо сейчас и получи хорошую Скидку на аксессуары. Арт 11-21-32-12-43-23-22-00-43-00-00. Добавляй в Избранное. Звоните и пишите, наш менеджер ответит вам в течении 10 минут. Все есть в наличии! Цена Оптовая. В розницу уточняйте.|128|3.0|ios
21|https://www.avito.ru/moskva/telefony/iphone_13_mini_128gb_pink_rst_ot_16.12.22_ideal_2789067223|iPhone 13 mini 128Gb Pink рст от 16.12.22 идеал|46990|Есть Trade IN (обмен, выкуп) Вашей техники Apple без ремонта и поломок. IPhone 13 mini 128Gb Ростест. Цвет: Pink. Аккумулятор 100%. Заряжен всего 41 раз. На официальной гарантии от Apple до 15 декабря 2024 года. Полностью оригинальный iPhone, не подвергался ремонту и вскрытию! У меня только так! Телефон в Новом внешнем состоянии. Весь функционал работает на 100%. Полный заводской комплект. Данный телефон был предназначен для использования, как витринный образец, но никогда не использовался по назначению. Аксессуары и стёкла можно приобрести дополнительно. Больше интересных объявлений в профиле! В наличии есть новые, неактивированные iPhone (уточняйте ассортимент и цены в сообщениях). Также есть предзаказ на б/у iPhone по Вашим критериям! Мое добросовестное отношение к вам выражено в отзывах других покупателей, смотрите профиль.|128|4.0|ios
22|https://www.avito.ru/moskva/telefony/telefon_iphone_x_2750451827?slocation=107620|Телефон iPhone x|6500|Продам срочно. Айфон Аккум на 87%. Срочно нужны деньги.|64|3.0|ios
23|https://www.avito.ru/moskva/telefony/iphone_14_pro_max_128_vse_tsveta_2626797179|iPhone 14 pro max 128 все цвета|92990|В нашем магазине filin-smart вы можете купить новый, оригинальный Iphone 14 pro max 128 GB. Запакованный, не обменный и не восстановленный. Мы работаем на рынке 12 лет и хорошо зарекомендовали себя среди покупателей, поэтому предлагаем вашему вниманию полный асортимент от компании Apple на любой вкус и цвет. Предоставляем товарный и кассовый чек. Год гарантии от нашего магазина. 14 дней на обмен/возврат для проверки качества. Оплата при получении. Оплата по карте. Скидки постоянным клиентам. Свой интернет-магазин filin-smart. Трейд-Ин обмен старой техники на новую с доплатой. Перед покупкой проверка на официальном сайте. Самовывоз: каждый день с 10.30 до 20:00. Доставка: по Москве и Московской области. Отправка в регионы компанией Сдек. Цена может меняться из-за курса доллара. Уточняйте наличие и цену в сообщениях либо по телефону. Наши продавцы всегда проконсультируют и предложат что лучше выбрать. Мы дорожим своей репутацией и гарантируем что наш товар исключительно новый и оригинальный. Всегда на связи! Наш магазин находится по адресу. Метро Фили. Багратионовский проезд д7к20в. Бизнес центр Конвент. 346 офис. Бесплатная парковка ТЦ Филион 2 часа бесплатно. Мы не горбушка, не путайте пожалуйста находимся в соседнем здании.|128|6.0|ios
24|https://www.avito.ru/moskva/telefony/iphone_14_plus_256gb_2723734220?slocation=107620|iPhone 14 Plus 256Gb|67970|Trade-in на привлекательных условиях. Абсолютно новые, запечатанные, неактивированные. IPhone 14 Plus 256Gb Midnight Сшa. С официальным чеком. E-sim, есть и другие версии. Работает с любыми операторами по всему миру. He восстановленный и нe был в пользовании. В наличии. Возможна оплата картой. Самовывоз из магазина, экспресс-доставка по Москве, Авито-доставка, а также выгодная доставка Сдэк (по России и Беларуси от 200₽). У нас Вы всегда найдёте оригинальные устройства по привлекательным ценам. Почему стоит покупать именно у нас? Мы занимаемся мобильной электроникой с 2007 года. Только оригинальная продукция. Возможность вживую посмотреть и выбрать понравившуюся модель в нашем магазине. Покупая у нас Вы всегда будете уверены в стабильной работе Вашей техники. Поможем перенести данные абсолютно бесплатно. Заберем Ваш предыдущий смартфон по лучшим ценам в городе. Цены зависят от многих факторов, поэтому возможны изменения. Пожалуйста, уточняйте. Хорошего дня.|256|6.0|ios
25|https://www.avito.ru/moskva/telefony/iphone_8_v_idealnom_sostoyaniiakb100_2638417564?slocation=107620|iPhone 8 (в идеальном состоянии)(акб100)|9950|Продается iPhone 8 в идеальнейшем состоянии! Полный комплект: коробка, зарядка, наушники, документы! Акб 100%. Пользовалась девушка всегда в чехлах и защитном стекле, оно установлено и сейчас под ним экран просто как новый, так же в подарок отдадим чехол! Все функции работают идеально в том числе и тач айди и тру тон и тридэ тач! Доставка только по Москве! Торг не предлагать! Перекупам не писать! Отдадим только в хорошие руки, так как он просто как новый из магазина!).|64|2.0|ios
26|https://www.avito.ru/moskva/telefony/iphone_14_pro_256gb._vse_tsveta_v_nalichii_2533626808|iPhone 14 Pro 256Gb. Все цвета в наличии|88990|Акция: обменяй свой старый смартфон на новый и получи хорошую скидку по программе Trade-in. При покупке смартфона — беспроводные наушники, часы и аксессуары по специальной цене. Салон связи «В сети» приветствует вас. Мы занимаемся честной продажей и trade-in (обменом) смартфонов и портативной электроники уже 9 лет. Оригинальная продукция. Официальная гарантия. Apple iPhone 14 Про 256 Гб. Цвет: Черный (Space black). Все цвета в наличии. ℹ Смартфон абсолютно Новый, запечатанный, оригинальный, не восстановленный. Установим Сбербанк и Альфу. Быстро перенесем ваши данные со старого устройства на новое. Любые проверки перед покупкой. Предоставляем товарный и кассовый чек. Широкий ассортимент аксессуаров. Скидки постоянным клиентам. Экспресс-доставка по Москве и МО в течении 3 часов. Доставка по всей России. Мы гарантируем оригинальность всех наших товаров и дорожим своей репутацией. Мы всегда с вами на связи, готовы проконсультировать и помочь вам в любой момент. Остерегайтесь мошенников. Адрес магазина: метро Савёловская, ул. Сущёвский вал, 5с20, ТД Савёловский, павильон L-0. Цена указана за смартфон в модификации: 2 esim, без физической сим-карты (США). Так же в наличии есть для разных стран (с 1 физической сим-картой + esim или на 2 физические сим-карты). Актуальную цену уточняйте у менеджеров.|256|6.0|ios
27|https://www.avito.ru/moskva/telefony/xiaomi_poco_x3_pro_8_256_2750062965|Xiaomi poco X3 pro 8 256|10000|Продаю poco x3 pro в отличном состоянии.|256|8.0|android
